Res.,Record,Opponent,Method,Event,Date,Round,Time,Location,Notes
Win,31–5–1,Jamahal Hill,TKO (punches),UFC 311,"January 18, 2025",3,3:01,"Inglewood, California, United States",Performance of the Night.
Loss,30–5–1,Alex Pereira,TKO (head kick and punches),UFC 303,"June 29, 2024",2,0:13,"Las Vegas, Nevada, United States",For theUFC Light Heavyweight Championship.
Win,30–4–1,Aleksandar Rakić,TKO (punches),UFC 300,"April 13, 2024",2,3:17,"Las Vegas, Nevada, United States",Performance of the Night.
Loss,29–4–1,Alex Pereira,TKO (elbows),UFC 295,"November 11, 2023",2,4:08,"New York City, New York, United States",For the vacantUFC Light Heavyweight Championship.
Win,29–3–1,Glover Teixeira,Submission (rear-naked choke),UFC 275,"June 12, 2022",5,4:32,"Kallang, Singapore",Won theUFC Light Heavyweight Championship. Fight of the Night. Later vacated the title due to injury.
Win,28–3–1,Dominick Reyes,KO (spinning back elbow),UFC on ESPN: Reyes vs. Procházka,"May 1, 2021",2,4:29,"Las Vegas, Nevada, United States",Performance of the Night. Fight of the Night.
Win,27–3–1,Volkan Oezdemir,KO (punch),UFC 251,"July 12, 2020",2,0:49,"Abu Dhabi, United Arab Emirates",Performance of the Night.
Win,26–3–1,C. B. Dollaway,KO (punches),Rizin 20,"December 31, 2019",1,1:55,"Saitama, Japan",Defended theRizin Light Heavyweight Championship.
Win,25–3–1,Fábio Maldonado,KO (punches),Rizin 19,"October 12, 2019",1,1:49,"Osaka, Japan",Catchweight (220 lb) bout.
Win,24–3–1,Muhammed Lawal,TKO (punches),Rizin 15,"April 21, 2019",3,3:02,"Yokohama, Japan",Won the inauguralRizin Light Heavyweight Championship.
Win,23–3–1,Brandon Halsey,TKO (submission to punches),Rizin 14,"December 31, 2018",1,6:30,"Saitama, Japan",
Win,22–3–1,Jake Heun,TKO (punches),Rizin 13,"September 30, 2018",1,4:29,"Saitama, Japan",
Win,21–3–1,Bruno Cappelozza,KO (punches),Rizin 11,"July 28, 2018",1,1:23,"Saitama, Japan",
Win,20–3–1,Karl Albrektsson,TKO (punches),Rizin World Grand Prix 2017: 2nd Round,"December 29, 2017",1,9:57,"Saitama, Japan",
Win,19–3–1,Wilian Roberto Alves,TKO (punches),Fusion Fight Night Series 16,"September 29, 2017",1,3:41,"Brno, Czech Republic",Return to Light Heavyweight.
Win,18–3–1,Mark Tanios,Decision (unanimous),Rizin World Grand Prix 2016: 1st Round,"September 25, 2016",2,5:00,"Saitama, Japan",2016 Rizin Openweight Grand PrixFirst round.
Win,17–3–1,Kazuyuki Fujita,KO (punch),Rizin 1,"April 17, 2016",1,3:18,"Nagoya, Japan",Catchweight (242 lb) bout.
Loss,16–3–1,Muhammed Lawal,KO (punch),Rizin World Grand Prix 2015: Part 2 - Iza,"December 31, 2015",1,5:09,"Saitama, Japan",2015 Rizin Heavyweight Grand PrixFinal.
Win,16–2–1,Vadim Nemkov,TKO (retirement),1,10:00,2015 Rizin Heavyweight Grand PrixSemifinal.
Win,15–2–1,Satoshi Ishii,KO (head kick and knees),Rizin World Grand Prix 2015: Part 1 - Saraba,"December 29, 2015",1,1:36,"Saitama, Japan",Heavyweight debut.2015 Rizin Heavyweight Grand PrixQuarterfinal.
Win,14–2–1,Evgeni Kondratov,KO (punch),ProFC 59,"November 21, 2015",1,4:23,"Kursk, Russia",
Win,13–2–1,Michał Fijałka,TKO (corner stoppage),Gladiator CF 31,"May 22, 2015",1,5:00,"Brno, Czech Republic",
Win,12–2–1,Rokas Stambrauskas,TKO (corner stoppage),GCF Challenge: Back in the Fight 4,"March 27, 2015",1,5:00,"Příbram, Czech Republic",
Draw,11–2–1,Mikhail Mokhnatkin,Draw (majority),Fight Nights Global 29,"December 20, 2014",3,5:00,"Moscow, Russia",
Win,11–2,Darko Stošić,TKO (punches),GCF Challenge: Cage Fight 5,"November 14, 2014",1,1:09,"Brno, Czech Republic",
Win,10–2,Tomáš Penz,TKO (flying knee and punches),Gladiator CF 28,"June 6, 2014",1,0:41,"Brno, Czech Republic",Defended the GCF Light Heavyweight Championship.
Win,9–2,Viktor Bogutzki,Submission (rear-naked choke),Gladiator CF 27,"March 21, 2014",1,2:17,"Prague, Czech Republic",
Win,8–2,Martin Šolc,KO (flying knee),Gladiator CF 26,"December 7, 2013",3,4:00,"Prague, Czech Republic",Won the inaugural GCF Light Heavyweight Championship.
Win,7–2,Oliver Dohring,TKO (punches),Rock the Cage 4,"October 12, 2013",1,N/A,"Greifswald, Germany",
Loss,6–2,Abdul-Kerim Edilov,Submission (rear-naked choke),Fight Nights Global 16,"June 20, 2013",1,1:56,"Moscow, Russia",
Win,6–1,Radovan Estocin,KO (flying knee and punches),Gladiator CF 23,"May 10, 2013",1,0:26,"Brno, Czech Republic",
Win,5–1,Josef Žák,TKO (punches),Gladiator CF 19,"February 15, 2013",1,N/A,"Příbram, Czech Republic",
Loss,4–1,Bojan Veličković,TKO (punches),Supreme FC 1,"December 9, 2012",1,N/A,"Belgrade, Serbia",
Win,4–0,Strahinja Denić,Submission (triangle choke),Ring Fight Brno 1,"November 15, 2012",1,2:10,"Brno, Czech Republic",
Win,3–0,Martin Vaniš,TKO (punches),Gladiator CF 17,"October 20, 2012",1,2:48,"Ostrava, Czech Republic",
Win,2–0,Vladimír Eis,KO (knee),Gladiator CF 15,"August 24, 2012",1,1:02,"Karlovy Vary, Czech Republic",
Win,1–0,Stanislav Futera,KO (punch),Gladiator CF 10,"April 7, 2012",1,0:53,"Mladá Boleslav, Czech Republic",Light Heavyweight debut.
